Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num,,,,
20157,ACCT,3220,002,,,"ZECHMAN, SARAH",41,34,97%,4.5,0.9,5.0,0.9,7-9,3.5,4.7,4.9,5.4,5.1,5.9,CORP FINANCIAL RPRTNG 1,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,3220,003,,,"ZECHMAN, SARAH",42,33,100%,4.5,1.0,5.3,0.9,7-9,3.7,4.6,5.3,5.5,4.8,5.9,CORP FINANCIAL RPRTNG 1,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,3220,004,,,"ZECHMAN, SARAH",42,23,100%,4.8,0.9,5.2,0.9,7-9,3.2,4.7,5.1,5.4,4.9,5.8,CORP FINANCIAL RPRTNG 1,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,3230,001,,,"ROCK, STEVEN",59,43,100%,4.7,1.1,5.4,0.8,7-9,3.8,4.6,5.4,5.5,5.2,5.9,CORP FINANCIAL RPRTNG II,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,4620,001,,,"FREDERICK, DAVID",45,42,100%,5.0,1.1,5.3,1.1,4-6,4.0,5.1,5.3,4.7,5.0,5.8,AUDITING/ASSURANCE SVCS,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,4620,002,,,"FREDERICK, DAVID",20,19,100%,4.7,1.5,4.9,1.3,7-9,4.5,4.6,4.7,4.7,4.6,5.7,AUDITING/ASSURANCE SVCS,,,,,,,BD,BU,,UD,BU,TTT,1,,,,
20157,ACCT,5700,001,,,"JAGOLINZER, ALAN",28,27,100%,5.5,0.7,5.8,0.4,7-9,4.4,5.7,5.8,5.0,5.5,5.9,INTERNATIONAL ACCOUNTING,,,,,,,BD,BU,,GR,BU,TTT,1,,,,
20157,ACCT,5700,002,,,"JAGOLINZER, ALAN",28,25,100%,5.4,0.7,5.7,0.6,7-9,4.4,5.5,5.4,5.2,5.5,5.6,INTERNATIONAL ACCOUNTING,,,,,,,BD,BU,,GR,BU,TTT,1,,,,
20157,ACCT,7830,002,OL,,"ROGERS, JONATHAN",4,4,100%,6.0,0.0,6.0,0.0,13-15,5.8,6.0,6.0,6.0,6.0,6.0,DOC SEM: ACCOUNTING RESE,,,,,,,BD,BU,,GR,BU,TTT,1,,,,
20157,ANTH,1115,001,OL,,"ROLAND, L KAIFA",142,53,100%,4.9,1.2,5.2,1.1,4-6,3.5,4.8,5.2,3.5,4.7,5.8,CARIBBEAN/POST COLONIAL,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,1135,001,,,"GOLDFARB, KATHRYN",37,33,100%,4.4,1.3,5.1,1.2,4-6,3.5,4.7,5.3,4.4,4.7,5.8,EXPLORING NON-WSTRN CULT,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,1135,002,,,"JACKA, JERRY",37,24,100%,4.9,0.7,5.6,0.5,4-6,3.1,5.3,4.9,4.2,5.0,5.9,EXPLORING NON-WSTRN CULT,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,1135,010,,,"GUTIERREZ, GERARDO",88,59,100%,4.7,1.0,5.1,1.1,4-6,3.0,4.7,4.9,3.6,4.5,5.8,EXPLORING NON-WSTRN CULT,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,1140,010,,,"SHEETS, PAYSON",120,64,100%,4.6,1.1,4.9,1.0,4-6,3.5,4.7,4.5,3.7,4.8,5.8,EXPL/NONWEST CULT/MAYA,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,1190,100,,,"JOYCE, ARTHUR",238,126,99%,4.4,1.2,4.9,1.1,4-6,3.5,4.4,4.7,4.0,4.6,5.8,ORIGINS OF ANCIENT CIVIL,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,2010,001,OL,,"SPONHEIMER, MATT",188,73,97%,4.5,1.3,5.0,1.4,4-6,3.5,5.0,4.5,4.8,4.8,5.7,INTRO TO PHYS ANTHROPOLO,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,2010,002,OL,,"SPONHEIMER, MATT",187,70,97%,5.1,1.2,5.5,0.9,4-6,3.6,5.4,5.1,5.1,5.2,6.0,INTRO TO PHYS ANTHROPOLO,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,2100,010,,,"MCGRANAHAN, CAROLE",150,116,99%,5.3,1.0,5.6,0.8,4-6,4.3,5.5,5.4,4.3,5.0,5.9,INTRO TO CULTURAL ANTHRO,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,2200,010,,,"CAMERON, CATHERINE",92,55,100%,4.5,1.1,5.0,1.1,4-6,4.0,4.6,4.9,4.1,4.7,5.8,THE ARCHAEOLOGY OF HUMAN,,,,,,,BD,AS,SS,LD,ANTH,TTT,1,,,,
20157,ANTH,3000,001,,,"SAUTHER, MICHELLE",87,35,97%,4.4,1.1,4.6,1.5,4-6,4.0,4.2,4.9,3.9,4.8,5.8,PRIMATE BEHAVIOR,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,3000,002,,,"SAUTHER, MICHELLE",32,27,96%,5.0,1.2,5.2,1.2,4-6,4.6,4.7,5.0,4.2,5.0,5.9,PRIMATE BEHAVIOR,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,3160,001,,,"SHANKMAN, PAUL",88,56,100%,5.3,0.9,5.6,0.7,4-6,4.5,5.3,5.5,4.4,5.2,5.9,PEOPLES SOUTH PACIFIC,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4020,001,,,"JONES, CARLA",34,29,100%,5.1,1.1,5.5,1.0,7-9,4.6,5.3,5.4,5.2,5.4,6.0,EXPLORATIONS IN ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4020,002,,,"GUTIERREZ, GERARDO",9,7,100%,4.6,1.0,5.4,0.8,7-9,3.1,4.7,5.9,4.4,5.6,6.0,EXPLORATIONS IN ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4020,004,,,"ORTMAN, SCOTT",27,14,100%,4.4,1.1,5.3,1.0,7-9,3.9,4.6,5.6,5.0,4.9,5.9,EXPLORATIONS IN ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4020,007,,,"COOL, ALISON",10,9,100%,5.7,0.5,5.7,0.7,4-6,4.4,5.4,5.8,5.1,5.8,6.0,EXPLORATIONS IN ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4020,008,,,"GOLDFARB, KATHRYN",7,5,100%,5.2,1.8,5.6,0.9,7-9,5.6,5.2,5.8,5.8,5.6,6.0,EXPLORATIONS IN ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4120,001,,,"BERNSTEIN, ROBIN",21,16,100%,4.9,1.1,5.3,1.0,4-6,4.4,5.1,5.6,4.8,4.9,5.9,ADVANCED PHYSICAL ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4120,002,,,"LEIGH, STEVEN",13,13,92%,4.8,0.8,5.6,0.5,7-9,4.2,5.4,5.6,5.1,5.1,6.0,ADVANCED PHYSICAL ANTHRO,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
20157,ANTH,4180,001,,,"COOL, ALISON",15,11,100%,5.5,0.8,5.7,0.5,7-9,3.7,5.5,5.6,5.4,5.7,6.0,ANTH PRSPECT/CONTEMP ISS,,,,,,,BD,AS,SS,UD,ANTH,TTT,1,,,,
