"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-01",,"0","31","4","-34","21","2.0","0.11","37","4899","0.48","45.8","9.8","5.5","14.6","-3.5","7878",,,,,"315",,,,,"25.9"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-02",,"0","28","2","-21","17","1.2","0.07","40","6290","0.16","63.7","4.3","15.3","25.8","4.9","11178",,,,,"315",,,,,"34.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-03",,"0","26","3","8","9","3.7","1.19","44","7499","2.06","57.0","8.6","26.0","33.6","18.4","14154",,,,,"315",,,,,"25.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-04",,"17","0","0","15","0","0.8","1.27","90","8083","3.56","59.4","1.3","46.1","55.8","36.4","14412",,,,,"270",,,,,"45.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-05",,"68","0","0","33","0","0.0","1.05","90","8338","4.78","55.2","0.0","58.4","68.1","48.8","15072",,,,,"315",,,,,"32.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-06",,"276","0","0","49","0","0.0","0.49","97","8359","1.27","73.3","0.0","71.2","81.4","61.0","20484",,,,,"180",,,,,"30.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-07",,"594","0","0","51","0","0.0","1.08","95","3","3.67","82.1","0.0","75.2","86.3","64.1","23274",,,,,"225",,,,,"40.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-08",,"814","0","0","50","0","0.0","1.10","94","9","2.19","72.4","0.0","71.9","82.6","61.2","18948",,,,,"225",,,,,"31.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-09",,"894","0","0","36","0","0.0","0.55","89","204","3.20","59.8","0.0","61.2","71.1","51.2","13452",,,,,"225",,,,,"36.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-10",,"898","0","0","30","0","0.0","1.43","85","686","4.97","48.7","0.0","49.6","58.1","41.1","10092",,,,,"315",,,,,"38.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-11",,"898","5","1","3","5","5.0","1.28","53","1655","3.82","27.7","6.3","32.7","39.5","25.9","4764",,,,,"315",,,,,"42.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1970-12",,"898","21","2","-13","4","1.4","0.11","52","3105","0.44","35.4","5.6","18.2","26.5","9.9","5826",,,,,"315",,,,,"34.9"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-01",,"0","31","8","-18","13","3.9","0.24","35","4919","1.22","52.4","20.0","6.5","14.7","-1.7","8988",,,,,"315",,,,,"36.9"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-02",,"0","28","6","-23","20","4.4","0.53","42","6262","1.74","49.3","13.9","17.0","25.0","9.0","8598",,,,,"315",,,,,"42.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-03",,"0","27","3","3","6","3.5","0.50","67","7408","1.22","51.8","7.0","28.0","35.2","20.8","11520",,,,,"315",,,,,"32.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-04",,"1","2","1","17","1","1.3","0.46","79","7951","1.11","70.5","1.9","47.0","58.9","35.0","17100",,,,,"315",,,,,"36.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-05",,"6","0","0","32","0","0.2","1.16","84","8253","3.14","69.3","0.2","55.4","67.0","43.8","19068",,,,,"90",,,,,"25.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-06",,"220","0","0","50","0","0.0","0.73","96","8273","3.52","67.2","0.0","71.5","81.3","61.7","18804",,,,,"135",,,,,"32.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-07",,"355","0","0","47","0","0.0","2.39","90","17","3.94","80.2","0.0","68.8","79.8","57.8","22668",,,,,"45",,,,,"33.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-08",,"519","0","0","44","0","0.0","1.19","97","42","1.78","77.9","0.0","69.5","81.6","57.5","20406",,,,,"135",,,,,"29.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-09",,"620","0","0","34","0","0.0","0.92","94","209","2.74","63.5","0.0","62.8","73.3","52.3","14466",,,,,"225",,,,,"34.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-10",,"623","0","0","29","0","0.0","2.22","76","632","5.69","45.9","0.0","51.4","60.3","42.5","9492",,,,,"225",,,,,"42.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-11",,"623","8","4","8","7","4.1","0.72","57","1601","2.67","33.1","13.4","32.7","39.2","26.2","5754",,,,,"315",,,,,"34.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1971-12",,"623","31","3","-10","11","6.0","0.33","35","3046","0.70","24.5","12.8","18.4","25.6","11.1","4020",,,,,"315",,,,,"32.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-01",,"0","31","3","-29","16","6.0","0.39","37","4891","0.85","61.3","12.2","5.5","15.0","-4.0","10518",,,,,"270",,,,,"38.9"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-02",,"0","29","2","-24","16","3.8","0.29","37","6472","0.49","59.9","7.7","10.5","19.8","1.1","10926",,,,,"270",,,,,"29.1"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-03",,"0","20","4","-11","19","3.7","0.41","53","7668","1.25","70.7","10.4","26.4","34.5","18.3","15612",,,,,"270",,,,,"34.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-04",,"0","1","2","18","2","4.8","0.71","77","8360","1.69","49.9","8.0","41.9","50.9","32.9","12090",,,,,"225",,,,,"34.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-05",,"93","0","0","34","0","0.0","0.59","90","8570","2.18","58.4","0.0","61.2","72.2","50.3","16182",,,,,"225",,,,,"28.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-06",,"200","0","0","41","0","0.0","1.03","92","8645","3.31","75.3","0.0","66.0","78.3","53.7","21066",,,,,"225",,,,,"36.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-07",,"343","0","0","43","0","0.0","1.57","91","35","5.11","65.7","0.0","68.5","78.0","59.0","18594",,,,,"315",,,,,"30.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-08",,"545","0","0","45","0","0.0","0.84","97","88","2.48","61.6","0.0","69.8","79.2","60.4","16176",,,,,"225",,,,,"32.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-09",,"557","0","0","28","0","0.0","0.60","83","313","1.96","50.7","0.0","57.9","68.1","47.7","11484",,,,,"225",,,,,"38.0"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","1972-10",,"557","0","0","15","0","0.0","0.62","73","973","1.76","45.0","0.0","43.7","52.6","34.9","9228",,,,"315","315",,,,"43.6","33.1"
